"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:21:54","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Рыдзинского, 24","265887284440700591306482","0104620021194241215S*ga'",,"","2025-06-15 19:18:00","2801216975","0f2e596b-6d4c-404a-9397-56ffdf5c4f2c","Нет",,,,,,,,"04620021194241","4632a900-6edb-4f74-891d-6d64396ad943","Якутск","7284440700591306","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:03:15","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, у Мегино-Кангаласский, п Нижний Бестях, ул Ленина, 82","292657284440700591371482","0104620021194241215mttch",,"","2025-06-15 18:57:00","2801216975","07baed58-7b11-478f-ac2b-6ccf873e9022","Нет",,,,,,,,"04620021194241","e8b0836c-a5ae-42d7-bae3-7d8ba9c82e24","Мегино-Кангаласский","7284440700591371","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:58:51","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Чайковского, 2/2Г","398247284440700591323482","0104620021194241215D3*lp",,"","2025-06-15 18:56:00","2801216975","def60d38-b6f1-4dd8-97d6-80162e44c2e1","Нет",,,,,,,,"04620021194241","cb910d5d-5b44-4999-8a8e-491dd5fa668a","Якутск","7284440700591323","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:57:07","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Авиационная, 3","17257380440801745388482","0104620021194241215VaoP.",,"","2025-06-15 18:52:00","2801216975","f8a4d692-6f77-4113-bc7f-3f00cb41ce75","Нет",,,,,,,,"04620021194241","31ea476b-016b-40e7-9d27-c39a100e55bd","Якутск","7380440801745388","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:34:29","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Рыдзинского, 24","379047284440700591293482","0104620021194241215DJ_cj",,"","2025-06-15 18:28:00","2801216975","16f64ef9-880e-4358-8cca-3273e3efb778","Нет",,,,,,,,"04620021194241","4632a900-6edb-4f74-891d-6d64396ad943","Якутск","7284440700591293","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:24:50","Молочная продукция","Амурская область","Амурская обл, г Зея, пер Серова, 28","627047284440700612898482","0104650271282504215TdT0V",,"","2025-06-15 18:20:00","2801216975","14f7eeb8-6021-4c95-ac1b-7f78c0c36933","Нет",,,,,,,,"04650271282504","12785c6f-dd64-4d91-8475-d6a0903865ab","Зея","7284440700612898","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:11","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Чайковского, 2/2Г","398127284440700591323482","0104620021194241215lhYg+",,"","2025-06-15 18:17:00","2801216975","7bdc078e-293c-44e3-9eda-6ff02de3a977","Нет",,,,,,,,"04620021194241","cb910d5d-5b44-4999-8a8e-491dd5fa668a","Якутск","7284440700591323","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:10:02","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Чайковского, 2/2Г","566367284440700591372482","0104620021194241215Vl<hK",,"","2025-06-15 18:04:00","2801216975","ed9c5380-3163-4a7b-8661-eca53b8a637a","Нет",,,,,,,,"04620021194241","cb910d5d-5b44-4999-8a8e-491dd5fa668a","Якутск","7284440700591372","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:05:14","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Чайковского, 2/2Г","566337284440700591372482","0104620021194241215J_*IQ",,"","2025-06-15 17:59:00","2801216975","9878872e-6aee-4575-a758-7a708d4f7341","Нет",,,,,,,,"04620021194241","cb910d5d-5b44-4999-8a8e-491dd5fa668a","Якутск","7284440700591372","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:05:14","Молочная продукция","Республика Саха (Якутия) ","Респ Саха /Якутия/, г Якутск, ул Чайковского, 2/2Г","566337284440700591372482","0104620021194241215UP.0C",,"","2025-06-15 17:59:00","2801216975","17c5e94d-f6f6-48d7-9088-7722a1a0ea2f","Нет",,,,,,,,"04620021194241","cb910d5d-5b44-4999-8a8e-491dd5fa668a","Якутск","7284440700591372","Нет"
